File_Name,Article_Link,Article_Snippet,Question,Answer,Distractors,Comments,prompt,completion
A spat over language erupts at the World Bank,https://www.dropbox.com/s/j4vugye5bhl4gr2/a-spat-over-language-erupts-at-the-world-bank.md?dl=0,"... analysed the language of the World Bank since its founding in the 1940s. Back then, the average report roughly met the 2.6% standard. By 2012, however, the conjunction took up about 6% of the words in its reports.",What is the tendency of conjunction usage in the language of World Bank reports? ,1) increasing,"2) decreasing
3) keep constant",ChatGPT answer: What was the percentage of conjunction usage in the language of World Bank reports in the 1940s compared to 2012,"... analysed the language of the World Bank since its founding in the 1940s. Back then, the average report roughly met the 2.6% standard. By 2012, however, the conjunction took up about 6% of the words in its reports.",What is the tendency of conjunction usage in the language of World Bank reports? 
A spat over language erupts at the World Bank,https://www.dropbox.com/s/j4vugye5bhl4gr2/a-spat-over-language-erupts-at-the-world-bank.md?dl=0,"n 2014 the Bank’s number-crunchers highlighted the unpopularity of its studies: of the 1,611 documents they assessed, 32% were never downloaded by anyone.",Which option is the closest to the percentage of World Bank studies that were never downloaded according to a 2014 assessment?,1) 30%,"2) 20%
3) 15%
4) 35%",,"n 2014 the Bank’s number-crunchers highlighted the unpopularity of its studies: of the 1,611 documents they assessed, 32% were never downloaded by anyone.",Which option is the closest to the percentage of World Bank studies that were never downloaded according to a 2014 assessment?
Absent friends,https://www.dropbox.com/s/stg8g7o1ojjyh3u/absent-friends.md?dl=0,"Emerging markets account for around half of global economic output but, given the continued process of deleveraging across the rich world, the IMF expects them to contribute over 80% of world GDP growth in 2012.",True/False: Emerging markets' contribution to global economic output met the IMF's expectation in 2012.,1) FALSE,"2) True
3) I don't know","ChatGPT version (can only repeat the number; cannot compare them and generate conclusion):

True or False: The IMF expects emerging markets to contribute over 80% of world GDP growth in 2012.","Emerging markets account for around half of global economic output but, given the continued process of deleveraging across the rich world, the IMF expects them to contribute over 80% of world GDP growth in 2012.",True/False: Emerging markets' contribution to global economic output met the IMF's expectation in 2012.
Academic papers,https://www.dropbox.com/s/c9zkspujl1mll3f/academic-papers.md?dl=0,"In 1973 around two-thirds of the 400,000 research publications indexed in the firm's ""Web of Knowledge"" databases came from the G7 rich-world countries (America, Britain, Canada, Japan, Germany, France and Italy). By 2011 that share had fallen to half of the 1.8m total",How did the research publications indexed in the firm's "Web of Knowledge" databases from the G7 countries change from 1973 to 2011?,1) increase in number and decrease in proportion,"2) increase in number and increase in proportion
3) decrease in number and increase in proportion
4) decrease in number and decrease in proportion
",not clear in the chart,"In 1973 around two-thirds of the 400,000 research publications indexed in the firm's ""Web of Knowledge"" databases came from the G7 rich-world countries (America, Britain, Canada, Japan, Germany, France and Italy). By 2011 that share had fallen to half of the 1.8m total",How did the research publications indexed in the firm's "Web of Knowledge" databases from the G7 countries change from 1973 to 2011?
easily-ahead,https://www.dropbox.com/home/econ/processed?preview=easily-ahead.md ,"America has one of the highest homicide rates in the developed world, at 4.8 per 100,000 people. ","What is the homicide rate in America, per 100,000?",1) 4.8 ,"2) 5.9
3) 8.2
4) 15.3",,"America has one of the highest homicide rates in the developed world, at 4.8 per 100,000 people. ","What is the homicide rate in America, per 100,000?"
easily-ahead,https://www.dropbox.com/home/econ/processed?preview=easily-ahead.md ,"While this is less than half what it was in 1980, the rates in the country's most murderous cities are nearly ten times that.",The homicide rate in 2010 is ___ compared to homicide rates in 1980.,1) half,"2) the same
3) double",snippet refers to "this" in previous sentence. graph doesn't include 1980s rates. ,"While this is less than half what it was in 1980, the rates in the country's most murderous cities are nearly ten times that.",The homicide rate in 2010 is ___ compared to homicide rates in 1980.
easily-ahead,https://www.dropbox.com/home/econ/processed?preview=easily-ahead.md ,"While this is less than half what it was in 1980, the rates in the country's most murderous cities are nearly ten times that.",The homicide rate in the most murderous cities are ___ the national average.,1) ten times,"2) five times
3) fifteen times",is there a better way to say "most murderous cities"?,"While this is less than half what it was in 1980, the rates in the country's most murderous cities are nearly ten times that.",The homicide rate in the most murderous cities are ___ the national average.
Accounting for time,https://www.dropbox.com/s/3c0nsxsjt1f3p8y/accounting-for-time.md?dl=0,Television accounts for the largest share of Americans' leisure time.,What is the most popular leisure time activity among Americans with a high school diploma and among those with a bachelor's degree or higher?,1) both TV,"2) TV and Relaxing/thinking
3) Sports/exercise and TV
4) Relaxing/thinking and Reading",Shown in the graph but not explicit in the snippet,Television accounts for the largest share of Americans' leisure time.,What is the most popular leisure time activity among Americans with a high school diploma and among those with a bachelor's degree or higher?
Accounting for time,https://www.dropbox.com/s/3c0nsxsjt1f3p8y/accounting-for-time.md?dl=0,"women get 11 minutes more kip a night than men do, and spend 29 more minutes cooking and clearing up. Men spend an extra four minutes a day eating and drinking, an extra 10 minutes exercising and eight more minutes mowing the lawn.","Compared to women, men spend less time __ and __  ",1) sleeping; cooking,"2) sleeping; eating
3) exercising; mowing the lawn
4) cooking; eating",might be hard to see in the graph,"women get 11 minutes more kip a night than men do, and spend 29 more minutes cooking and clearing up. Men spend an extra four minutes a day eating and drinking, an extra 10 minutes exercising and eight more minutes mowing the lawn.","Compared to women, men spend less time __ and __  "
ebay-20-years-of-trading,https://www.dropbox.com/home/econ/processed?preview=ebay-20-years-of-trading.md,"In 20 years, over $700 billion worth of goods (and enough cars to circle the moon four times) have been sold on eBay generating some $72 billion in revenue. ",How many dollars worth of goods have been sold on eBay in 20 years?,1) $700 billion,"2) 500 billion
3) 300 billion
4) 100 billion",The graph has nothing to do with the text here,"In 20 years, over $700 billion worth of goods (and enough cars to circle the moon four times) have been sold on eBay generating some $72 billion in revenue. ",How many dollars worth of goods have been sold on eBay in 20 years?
ebay-20-years-of-trading,https://www.dropbox.com/home/econ/processed?preview=ebay-20-years-of-trading.md,"In 20 years, over $700 billion worth of goods (and enough cars to circle the moon four times) have been sold on eBay generating some $72 billion in revenue. ",How much revenue has eBay generated in 20 years?,1) $72 billion,"2) 56 billion
3) 38 billion
4) 12 billion",The graph has nothing to do with the text here,"In 20 years, over $700 billion worth of goods (and enough cars to circle the moon four times) have been sold on eBay generating some $72 billion in revenue. ",How much revenue has eBay generated in 20 years?
Agnostic about gay marriage,https://www.dropbox.com/s/61d4ohuzjlvobi4/agnostic-about-gay-marriage.md?dl=0,"For the first time since the Pew Research Centre began conducting polls on the subject in 1995, fewer than half of Americans (48%) are opposed to gay marriage, while 42% are in favour.",Which option is the closest to the percentage of Americans in favor of gay marriage?,1) 40%,"2) 50%
3) 30%
4) 60%",,"For the first time since the Pew Research Centre began conducting polls on the subject in 1995, fewer than half of Americans (48%) are opposed to gay marriage, while 42% are in favour.",Which option is the closest to the percentage of Americans in favor of gay marriage?
Agnostic about gay marriage,https://www.dropbox.com/s/61d4ohuzjlvobi4/agnostic-about-gay-marriage.md?dl=0,"The most notable shift has been among white mainstream Protestants and Catholics, 49% of whom are now in favour, and that figure was even higher for those who attend church less than once a week.",Which group presents the most notable shift in terms of attitudes to gay marriage from 2008 to 2010?,1) white mainstream Protestants,"2) black Protestant
3) Hispanic Catholic
3) white evangelical Protestant",ChatGPT version: "What has been the change in the percentage of white mainstream Protestants and Catholics who are in favor of gay marriage over time","The most notable shift has been among white mainstream Protestants and Catholics, 49% of whom are now in favour, and that figure was even higher for those who attend church less than once a week.",Which group presents the most notable shift in terms of attitudes to gay marriage from 2008 to 2010?
emerging-market-cities,,SOME 52% of the world's population currently live in urban areas.,How much of the world's population currently live in urban areas?,52%,"49%
67%",,SOME 52% of the world's population currently live in urban areas.,How much of the world's population currently live in urban areas?
Energy consumption increased at a record rate in 2018,,"Robust global GDP growth of 3.7% last year caused energy demand to rise by some 2.3%, its fastest pace for a decade.",How much did global energy demand increase in 2018?,2.30%,"3.7%
4.9%
1.2%","GPT generated
HOW DID THEY KNOW IT WAS 2018","Robust global GDP growth of 3.7% last year caused energy demand to rise by some 2.3%, its fastest pace for a decade.",How much did global energy demand increase in 2018?
Enterprising Aussies,,"In an annual survey of global entrepreneurship, 54% of adult Australians said they were interested in starting their own business, compared with nearly 70% of Italians. But 19% of Australians actually began the process, the highest proportion of the 21 countries in the report, whereas only 3% of Italians did so.",What percentage of Italians started the process of starting their own business according to an annual survey of global entrepreneurship?,3%,19%,GPT generated,"In an annual survey of global entrepreneurship, 54% of adult Australians said they were interested in starting their own business, compared with nearly 70% of Italians. But 19% of Australians actually began the process, the highest proportion of the 21 countries in the report, whereas only 3% of Italians did so.",What percentage of Italians started the process of starting their own business according to an annual survey of global entrepreneurship?
Euro-area unemployment,,UNEMPLOYMENT in the euro area reached a record high in early 2013.,What was the record high unemployment rate in the euro area in 2013?,12%,"15%
19%","Interesting... I have been following a template of Snippet, Question, Answer... the previous GPT generation (above) gave me all three. This time it did not generate an Answer. ",UNEMPLOYMENT in the euro area reached a record high in early 2013.,What was the record high unemployment rate in the euro area in 2013?
"European xenophobia reflects racial diversity, not asylum",,There is no correlation between recent flows of refugees and increasing resentment of foreigners,True or False: There is a correlation between recent flows of refugees and increasing resentment of foreigners.,FALSE,TRUE,GPT generated: Is there a correlation between recent flows of refugees and increasing resentment of foreigners?... But this would be better framed as True/False,There is no correlation between recent flows of refugees and increasing resentment of foreigners,True or False: There is a correlation between recent flows of refugees and increasing resentment of foreigners.
Europe's irreligious,,"According to the latest European Social Survey conducted in 2008 and 2009, over 60% of Czechs say they never attend religious services, with the exception of “special occasions” such as marriages and christenings.","What percentage of Czechs say they never attend religious services, according to the latest European Social Survey?",60%,,GPT generated,"According to the latest European Social Survey conducted in 2008 and 2009, over 60% of Czechs say they never attend religious services, with the exception of “special occasions” such as marriages and christenings.","What percentage of Czechs say they never attend religious services, according to the latest European Social Survey?"
Even Britain’s youngsters have a cynical view of the EU,,"In the Brexit referendum last year, a mere 36% of 18- to 24-year-olds voted to leave the European Union, compared with 82% of those over 55.",What percentage of 18-24 year olds voted to leave the European Union in the Brexit referendum?,36%,82%,"GPT generated Questions, Answers, and Distractor","In the Brexit referendum last year, a mere 36% of 18- to 24-year-olds voted to leave the European Union, compared with 82% of those over 55.",What percentage of 18-24 year olds voted to leave the European Union in the Brexit referendum?
Executions are falling worldwide,,"The number of death sentences carried out worldwide fell by 30%, from 993 in 2017 to 690 last year, according to the latest annual count published by Amnesty International, a human-rights organisation.",What was the percentage decrease of death sentences carried out worldwide between 2017 and 2018 according to Amnesty International?,30%,25%,"GPT generated Questions, Answers, and Distractor","The number of death sentences carried out worldwide fell by 30%, from 993 in 2017 to 690 last year, according to the latest annual count published by Amnesty International, a human-rights organisation.",What was the percentage decrease of death sentences carried out worldwide between 2017 and 2018 according to Amnesty International?
Executive pay and performance,,"Currently, of the largest companies in America (those in the S&P 100), CEO pay has no correlation with either performance or market capitalisation.",What is the relationship between CEO pay and performance or market capitalisation of the largest companies in America?,No correlation,Positive correlation,"GPT generated Questions, Answers, and Distractor","Currently, of the largest companies in America (those in the S&P 100), CEO pay has no correlation with either performance or market capitalisation.",What is the relationship between CEO pay and performance or market capitalisation of the largest companies in America?
Expatriate rents,,"Rents for high-end flats of the type commonly let by expatriates are the most expensive in the world, at nearly $12,000 a month.","How much are rents for high-end flats in Hong Kong, on average?","$12,000 a month","$7,000 a month","GPT generated Questions, Answers, and Distractor","Rents for high-end flats of the type commonly let by expatriates are the most expensive in the world, at nearly $12,000 a month.","How much are rents for high-end flats in Hong Kong, on average?"
Faiths and the faithless,,"Among its many findings is that Jews and Buddhists make the biggest religious minorities, in the sense of living in a country where another religion is dominant.","What are the two biggest religious minorities, in terms of living in a country where another religion is dominant?",Jews and Buddhists,Christians and Hindus ,The chart has nothing to do with this text,"Among its many findings is that Jews and Buddhists make the biggest religious minorities, in the sense of living in a country where another religion is dominant.","What are the two biggest religious minorities, in terms of living in a country where another religion is dominant?"
Famine mortality,,"Earlier this month the United Nations estimated that 258,000 people died in the Somalia famine between October 2010 and April 2012.","How many people died in the Somalia famine between October 2010 and April 2012, according to the United Nations?","258,000","500,000, 2,580,000, 5,580,000","GPT generated Questions, Answers, and 3 Distractors","Earlier this month the United Nations estimated that 258,000 people died in the Somalia famine between October 2010 and April 2012.","How many people died in the Somalia famine between October 2010 and April 2012, according to the United Nations?"
,,"Using aggregated and anonymised data, the authors find that Americans with tightly clustered social networks comprised mainly of friends located within a short distance of their home tend to have lower incomes, lower levels of education and lower life expectancies. Those with more geographically dispersed social networks tend to be richer, more educated and healthier (see chart).",What do Americans with more geographically dispersed social networks tend to have?,Higher incomes,"Lower life expectancy, Lower levels of education","GPT generated slightly wrong grammar: What do Americans with more geographically dispersed social networks tend to have? Answer: Richer, more educated, and healthier

The question I generated is not the best","Using aggregated and anonymised data, the authors find that Americans with tightly clustered social networks comprised mainly of friends located within a short distance of their home tend to have lower incomes, lower levels of education and lower life expectancies. Those with more geographically dispersed social networks tend to be richer, more educated and healthier (see chart).",What do Americans with more geographically dispersed social networks tend to have?
Fat of the lands,,"The fattest countries are the United States and Mexico, where around a third of adults are obese. ",What percentage of adults are obese in the United States and Mexico?,33%,"25%, 20%, 45%","GPT generated Questions, Answers, and 3 Distractors","The fattest countries are the United States and Mexico, where around a third of adults are obese. ",What percentage of adults are obese in the United States and Mexico?
A sober brawl,,In 2010 a group of drug experts scored the total harm in Britain caused by 20 common intoxicants and concluded that alcohol inflicted the greatest cost,What intoxicant caused the greatest cost in Britain in 2010?,Alcohol,"Heroin, Ecstast, Tobacco","GPT answer: What intoxicant caused the greatest cost in Britain in 2010 according to a group of drug experts?
Seems to be slightly redundant",In 2010 a group of drug experts scored the total harm in Britain caused by 20 common intoxicants and concluded that alcohol inflicted the greatest cost,What intoxicant caused the greatest cost in Britain in 2010?
A sober brawl,,In 1999 alcohol firms invested half as much on lobbying in America as tobacco firms did. Today they spend 31% more,How much more does the alcohol industry spend on lobbying in America than the tobacco industry?,31%,"50%, 15%, 80%","GPT generated Questions, Answers, and Distractor",In 1999 alcohol firms invested half as much on lobbying in America as tobacco firms did. Today they spend 31% more,How much more does the alcohol industry spend on lobbying in America than the tobacco industry?
All pints east,,"And beer drinking in China is growing fast, by nearly 10% a year according to Credit Suisse's World Map of Beer.",What is the annual growth rate of beer drinking in China according to Credit Suisse's World Map of Beer?,10%,"5%, 7%, 15%","First GPT answer: What is the growth rate of beer consumption in China according to Credit Suisse's World Map of Beer?
Not include ""by X a year""","And beer drinking in China is growing fast, by nearly 10% a year according to Credit Suisse's World Map of Beer.",What is the annual growth rate of beer drinking in China according to Credit Suisse's World Map of Beer?
All that glitters is not gold,,"Buying up around a third of the world's silver supply, they pushed its price up from a low of $1.26 in 1971 to nearly $50 in 1980 ($140 in today's prices)",What was the gap between highest price of silver and lowest price from 1970 to 1980? ,around $50,"around $30, around $20, around $60",GPT is not good at comparing two numbers; can only generate questons focusing on one piece of information,"Buying up around a third of the world's silver supply, they pushed its price up from a low of $1.26 in 1971 to nearly $50 in 1980 ($140 in today's prices)",What was the gap between highest price of silver and lowest price from 1970 to 1980? 
All the phones in China,,"India is not far behind with over 900m mobile-phone subscriptions, according to figures from Chetan Sharma Consulting.","How many mobile phone subscriptions were there in India in 2012, according to Chetan Sharma Consulting?",900 million,"800 million, 500 million, 1 billion",add the year by hand,"India is not far behind with over 900m mobile-phone subscriptions, according to figures from Chetan Sharma Consulting.","How many mobile phone subscriptions were there in India in 2012, according to Chetan Sharma Consulting?"
American government workers are feeling the shutdown’s financial impact,,"Using data collected from a personal finance website, the authors found that the shutdown caused workers’ incomes to fall by about 23%, while spending dropped by 11%. ","How much did spending drop due to the government shutdown, according to data collected from a personal finance website?",11%,"23%, 7%, 5%",the x axis in the figures of this article is very confusing ,"Using data collected from a personal finance website, the authors found that the shutdown caused workers’ incomes to fall by about 23%, while spending dropped by 11%. ","How much did spending drop due to the government shutdown, according to data collected from a personal finance website?"
American inequality reflects gross incomes as much as taxes,,"By this measure at least, America’s tax system is in fact fairly progressive. It does roughly as much to reduce inequality as does Canada’s or Sweden’s (even though most European systems do more). ",How much does America's tax system reduce inequality relative to countries such as Canada and Sweden?,The same,"Less, More, A lot more",It seems that GPT generates a good comparison question for this snippet,"By this measure at least, America’s tax system is in fact fairly progressive. It does roughly as much to reduce inequality as does Canada’s or Sweden’s (even though most European systems do more). ",How much does America's tax system reduce inequality relative to countries such as Canada and Sweden?
American inequality reflects gross incomes as much as taxes,,"The difference in countries’ Gini coefficients after taxes and transfers correlates strongly with the economic weight of government. In France government spending accounts for 57% of GDP. America’s federal, state and local authorities spend just 35%. Although pre-tax inequality is almost as high in France as in America, the two countries look very different after taxes.",How does the economic weight of government correlate to the difference in countries' Gini coefficients after taxes and transfers?,Strongly,"Weakly, Moderately, Not at all","I regenerated a few times, but it seems that GPT is able to ""understand"" the relationship among sentences ","The difference in countries’ Gini coefficients after taxes and transfers correlates strongly with the economic weight of government. In France government spending accounts for 57% of GDP. America’s federal, state and local authorities spend just 35%. Although pre-tax inequality is almost as high in France as in America, the two countries look very different after taxes.",How does the economic weight of government correlate to the difference in countries' Gini coefficients after taxes and transfers?
American inequality reflects gross incomes as much as taxes,,"In contrast, countries with low pre-tax inequality, such as South Korea, manage to achieve low post-tax inequality without doing much by way of redistribution.",How is South Korea able to achieve low post-tax inequality without much redistribution?,Low pre-tax inequality,"Tax cuts, Government spending, Wealth redistribution",the generated distractors are interesting,"In contrast, countries with low pre-tax inequality, such as South Korea, manage to achieve low post-tax inequality without doing much by way of redistribution.",How is South Korea able to achieve low post-tax inequality without much redistribution?
American millennials think they will be rich,,Median household wealth in 2016 for 20- to 35 -year-olds was about 25% lower than it was for the similar-aged cohort in 2007.,How was the median household wealth for 20- to 35-year-olds in 2016 compared to 2007?,25% lower,"50% lower, 25% higher, 50% higher",slightly modify the grammar,Median household wealth in 2016 for 20- to 35 -year-olds was about 25% lower than it was for the similar-aged cohort in 2007.,How was the median household wealth for 20- to 35-year-olds in 2016 compared to 2007?
Americans’ perceptions of their country’s allies and enemies are hard to change,,"Britain is perceived to be America’s closest ally, with Americans rating it as somewhere between “ally” and “friendly”, on average.",How do Americans generally perceive Britain?,Somewhere between “ally” and “friendly”,"Unfriendly, Hostile, Neutral",,"Britain is perceived to be America’s closest ally, with Americans rating it as somewhere between “ally” and “friendly”, on average.",How do Americans generally perceive Britain?
Americans’ perceptions of their country’s allies and enemies are hard to change,,The largest partisan split in foreign relations is reserved for America’s southern neighbour. ,What country has the largest partisan split in foreign relations with America?,Mexico,"Canada, France, Britain",Sometimes GPT can replace "America's southern neighbour" with "Mexico" automatically,The largest partisan split in foreign relations is reserved for America’s southern neighbour. ,What country has the largest partisan split in foreign relations with America?
